subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
002	6	22	175	1	0	11	0	0	ff	138	2339	1
002	6	22	175	1	0	11	0	0	fp	138	2339	1
002	6	22	0	1	0	11	0	0	fs	138	2339	1
002	6	22	175	1	0	11	0	0	rp	138	2339	1
002	6	22	0	1	0	11	0	0	pr	138	2339	1
002	6	22	175	1	0	11	0	0	rb	138	2339	1
002	6	22	NA	1	0	11	0	0	rr	138	2339	1
002	6	22	175	1	0	11	0	0	tt	138	2339	1
002	6	22	245	2	11	20	0	0	ff	138	2339	1
002	6	22	245	2	11	20	0	0	fp	138	2339	1
002	6	22	0	2	11	20	0	0	fs	138	2339	1
002	6	22	245	2	11	20	0	0	rp	138	2339	1
002	6	22	0	2	11	20	0	0	pr	138	2339	1
002	6	22	245	2	11	20	0	0	rb	138	2339	1
002	6	22	NA	2	11	20	0	0	rr	138	2339	1
002	6	22	245	2	11	20	0	0	tt	138	2339	1
002	6	22	180	3	20	29	0	0	ff	138	2339	1
002	6	22	180	3	20	29	0	0	fp	138	2339	1
002	6	22	0	3	20	29	0	0	fs	138	2339	1
002	6	22	180	3	20	29	0	0	rp	138	2339	1
002	6	22	0	3	20	29	0	0	pr	138	2339	1
002	6	22	180	3	20	29	0	0	rb	138	2339	1
002	6	22	NA	3	20	29	0	0	rr	138	2339	1
002	6	22	180	3	20	29	0	0	tt	138	2339	1
002	6	22	236	4	29	40	0	0	ff	138	2339	1
002	6	22	236	4	29	40	0	0	fp	138	2339	1
002	6	22	0	4	29	40	0	0	fs	138	2339	1
002	6	22	236	4	29	40	0	0	rp	138	2339	1
002	6	22	0	4	29	40	0	0	pr	138	2339	1
002	6	22	236	4	29	40	0	0	rb	138	2339	1
002	6	22	NA	4	29	40	0	0	rr	138	2339	1
002	6	22	236	4	29	40	0	0	tt	138	2339	1
002	6	22	283	5	40	0	0	1	ff	138	2339	1
002	6	22	1300	5	40	0	0	1	fp	138	2339	1
002	6	22	0	5	40	0	0	1	fs	138	2339	1
002	6	22	1300	5	40	0	0	1	rp	138	2339	1
002	6	22	0	5	40	0	0	1	pr	138	2339	1
002	6	22	1300	5	40	0	0	1	rb	138	2339	1
002	6	22	NA	5	40	0	0	1	rr	138	2339	1
002	6	22	1300	5	40	0	0	1	tt	138	2339	1
002	6	22	170	6	0	10	1	1	ff	138	2339	1
002	6	22	375	6	0	10	1	1	fp	138	2339	1
002	6	22	0	6	0	10	1	1	fs	138	2339	1
002	6	22	375	6	0	10	1	1	rp	138	2339	1
002	6	22	0	6	0	10	1	1	pr	138	2339	1
002	6	22	375	6	0	10	1	1	rb	138	2339	1
002	6	22	NA	6	0	10	1	1	rr	138	2339	1
002	6	22	375	6	0	10	1	1	tt	138	2339	1
002	6	22	NA	7	10	14	1	1	ff	138	2339	1
002	6	22	NA	7	10	14	1	1	fp	138	2339	1
002	6	22	1	7	10	14	1	1	fs	138	2339	1
002	6	22	NA	7	10	14	1	1	rp	138	2339	1
002	6	22	NA	7	10	14	1	1	pr	138	2339	1
002	6	22	NA	7	10	14	1	1	rb	138	2339	1
002	6	22	NA	7	10	14	1	1	rr	138	2339	1
002	6	22	503	7	10	14	1	1	tt	138	2339	1
002	6	22	210	8	14	23	1	1	ff	138	2339	1
002	6	22	210	8	14	23	1	1	fp	138	2339	1
002	6	22	0	8	14	23	1	1	fs	138	2339	1
002	6	22	210	8	14	23	1	1	rp	138	2339	1
002	6	22	0	8	14	23	1	1	pr	138	2339	1
002	6	22	210	8	14	23	1	1	rb	138	2339	1
002	6	22	NA	8	14	23	1	1	rr	138	2339	1
002	6	22	210	8	14	23	1	1	tt	138	2339	1
002	6	22	249	9	23	32	1	1	ff	138	2339	1
002	6	22	249	9	23	32	1	1	fp	138	2339	1
002	6	22	0	9	23	32	1	1	fs	138	2339	1
002	6	22	408	9	23	32	1	1	rp	138	2339	1
002	6	22	1	9	23	32	1	1	pr	138	2339	1
002	6	22	249	9	23	32	1	1	rb	138	2339	1
002	6	22	175	9	23	32	1	1	rr	138	2339	1
002	6	22	424	9	23	32	1	1	tt	138	2339	1
002	6	22	190	10	32	37	1	1	ff	138	2339	1
002	6	22	190	10	32	37	1	1	fp	138	2339	1
002	6	22	0	10	32	37	1	1	fs	138	2339	1
002	6	22	365	10	32	37	1	1	rp	138	2339	1
002	6	22	1	10	32	37	1	1	pr	138	2339	1
002	6	22	190	10	32	37	1	1	rb	138	2339	1
002	6	22	160	10	32	37	1	1	rr	138	2339	1
002	6	22	350	10	32	37	1	1	tt	138	2339	1
002	6	22	185	11	37	83	1	1	ff	138	2339	1
002	6	22	804	11	37	83	1	1	fp	138	2339	1
002	6	22	0	11	37	83	1	1	fs	138	2339	1
002	6	22	2397	11	37	83	1	1	rp	138	2339	1
002	6	22	1	11	37	83	1	1	pr	138	2339	1
002	6	22	1791	11	37	83	1	1	rb	138	2339	1
002	6	22	987	11	37	83	1	1	rr	138	2339	1
002	6	22	1791	11	37	83	1	1	tt	138	2339	1
002	3	19	286	1	0	10	0	0	ff	208	3462	1
002	3	19	286	1	0	10	0	0	fp	208	3462	1
